Name,State,Type,Tuition_out
Montana State University-Northern,MT,Public,18171
Mississippi University for Women,MS,Public,18155
Pittsburg State University,KS,Public,18152
SUNY at Purchase College,NY,Public,18148
Elizabeth City State University,NC,Public,18130
Southern University and A & M College,LA,Public,18080
University of Maryland Eastern Shore,MD,Public,18048
SUNY College at Geneseo,NY,Public,18026
Sam Houston State University,TX,Public,18022
SUNY Cortland,NY,Public,17950
SUNY at Fredonia,NY,Public,17936
Washburn University,KS,Public,17918
SUNY College at Potsdam,NY,Public,17871
Shepherd University,WV,Public,17869
Marshall University,WV,Public,17856
SUNY College at Oswego,NY,Public,17841
Morgan State University,MD,Public,17832
SUNY Oneonta,NY,Public,17816
SUNY College at Brockport,NY,Public,17804
SUNY College at Plattsburgh,NY,Public,17798
SUNY College of Agriculture and Technology at Cobleskill,NY,Public,17789
University of Wisconsin-La Crosse,WI,Public,17765
University of Houston-Victoria,TX,Public,17750
Farmingdale State College,NY,Public,17726
Florida Agricultural and Mechanical University,FL,Public,17725
SUNY Maritime College,NY,Public,17724
Stephen F Austin State University,TX,Public,17676
SUNY Polytechnic Institute,NY,Public,17648
SUNY Buffalo State,NY,Public,17626
State University of New York at New Paltz,NY,Public,17625
University of North Carolina at Pembroke,NC,Public,17605
University of Science and Arts of Oklahoma,OK,Public,17550
The University of Texas Rio Grande Valley,TX,Public,17547
SUNY College at Old Westbury,NY,Public,17533
University of Maine at Augusta,ME,Public,17498
University of Central Oklahoma,OK,Public,17447
Texas Woman's University,TX,Public,17446
University of Wisconsin-Stout,WI,Public,17423
Texas A & M International University,TX,Public,17411
Wichita State University,KS,Public,17390
Kennesaw State University,GA,Public,17329
University of South Florida-Main Campus,FL,Public,17324
Western Carolina University,NC,Public,17290
Florida Atlantic University,FL,Public,17276
Indiana University of Pennsylvania-Main Campus,PA,Public,17271
Chicago State University,IL,Public,17212
Valdosta State University,GA,Public,17196
Angelo State University,TX,Public,17161
Lincoln University,PA,Public,17151
Georgia Southern University,GA,Public,17142
Auburn University at Montgomery,AL,Public,17140
Purdue University Northwest,IN,Public,17129
Tarleton State University,TX,Public,17111
Wright State University-Main Campus,OH,Public,17098
Grand Valley State University,MI,Public,17064
University of West Georgia,GA,Public,17010
Columbus State University,GA,Public,16920
Delaware State University,DE,Public,16904
SUNY Empire State College,NY,Public,16835
University of Wyoming,WY,Public,16827
University of West Alabama,AL,Public,16818
Concord University,WV,Public,16812
Fayetteville State University,NC,Public,16791
University of Wisconsin-Eau Claire,WI,Public,16736
University of South Florida-St Petersburg,FL,Public,16735
Grambling State University,LA,Public,16733
The University of Montana-Western,MT,Public,16716
Salem State University,MA,Public,16706
Nevada State College,NV,Public,16688
University of Florida-Online,FL,Public,16580
Valley City State University,ND,Public,16579
Glenville State College,WV,Public,16560
West Virginia State University,WV,Public,16550
University of South Florida-Sarasota-Manatee,FL,Public,16501
University of Wisconsin-Stevens Point,WI,Public,16476
Saint Cloud State University,MN,Public,16462
University of Houston-Downtown,TX,Public,16430
Georgia Gwinnett College,GA,Public,16348
Troy University,AL,Public,16276
Fitchburg State University,MA,Public,16235
University of Wisconsin-Whitewater,WI,Public,16235
Minnesota State University-Mankato,MN,Public,16216
Savannah State University,GA,Public,16204
Winston-Salem State University,NC,Public,16188
Bridgewater State University,MA,Public,16152
Utah Valley University,UT,Public,16066
Framingham State University,MA,Public,16000
McNeese State University,LA,Public,15958
Armstrong State University,GA,Public,15900
Clayton  State University,GA,Public,15880
Minnesota State University Moorhead,MN,Public,15878
Georgia Southwestern State University,GA,Public,15802
Westfield State University,MA,Public,15795
Northern Michigan University,MI,Public,15736
University of Wisconsin-Green Bay,WI,Public,15728
East Central University,OK,Public,15720
Arizona State University-Skysong,AZ,Public,15691
University of Wisconsin-Superior,WI,Public,15682
Clarion University of Pennsylvania,PA,Public,15636
Worcester State University,MA,Public,15612
University of Wisconsin-River Falls,WI,Public,15586
Jacksonville State University,AL,Public,15582
Cameron University,OK,Public,15510
Southeastern Oklahoma State University,OK,Public,15390
University of Wisconsin-Platteville,WI,Public,15386
University of Wisconsin-Parkside,WI,Public,15378
California University of Pennsylvania,PA,Public,15326
University of South Alabama,AL,Public,15324
Southern University at New Orleans,LA,Public,15322
